,index,CTYNAME,GDP2019,CTYNAME,POPESTIMATE2019
42,44.0,Limestone,"3,572,973",Limestone County,99136
43,45.0,Lowndes,"377,807",Lowndes County,9726
44,46.0,Macon,"478,726",Macon County,18065
45,47.0,Madison,"23,670,284",Madison County,372547
46,48.0,Marengo,"681,595",Marengo County,18919
47,49.0,Marion,"792,988",Marion County,29826
48,50.0,Marshall,"3,276,199",Marshall County,96751
49,51.0,Mobile,"18,652,926",Mobile County,413516
50,52.0,Monroe,"599,556",Monroe County,20689
51,53.0,Montgomery,"12,558,288",Montgomery County,226074
52,54.0,Morgan,"5,135,887",Morgan County,119630
53,55.0,Perry,"192,844",Perry County,8940
54,56.0,Pickens,"429,936",Pickens County,19940
55,57.0,Pike,"1,286,294",Pike County,33034
56,58.0,Randolph,"464,111",Randolph County,22781
57,59.0,Russell,"1,313,851",Russell County,58098
58,60.0,St. Clair,"1,871,513",St. Clair County,89735
59,61.0,Shelby,"10,814,962",Shelby County,218176
60,62.0,Sumter,"294,189",Sumter County,12358
61,63.0,Talladega,"2,864,298",Talladega County,80226
62,64.0,Tallapoosa,"1,265,550",Tallapoosa County,40337
63,65.0,Tuscaloosa,"10,491,624",Tuscaloosa County,210321
64,66.0,Walker,"1,694,530",Walker County,63680
65,67.0,Washington,"789,922",Washington County,16279
66,68.0,Wilcox,"384,636",Wilcox County,10396
67,69.0,Winston,"698,066",Winston County,23700
68,71.0,Alaska,"53,336,499",Alaska,733603
69,72.0,Aleutians East Borough,"211,829",Aleutians East Borough,3355
70,73.0,Aleutians West Census Area,"372,939",Aleutians West Census Area,5702
71,74.0,Anchorage Municipality,"21,096,610",Anchorage Municipality,288790
72,75.0,Bethel Census Area,"669,380",Bethel Census Area,18493
73,76.0,Bristol Bay Borough,"125,131",Bristol Bay Borough,840
74,77.0,Chugach Census Area1,(NA),Chugach Census Area,6509
75,78.0,Copper River Census Area1,(NA),Copper River Census Area,2886
76,79.0,Denali Borough,"259,591",Denali Borough,2125
77,80.0,Dillingham Census Area,"239,239",Dillingham Census Area,4932
78,81.0,Fairbanks North Star Borough,"5,254,634",Fairbanks North Star Borough,97088
79,82.0,Haines Borough,"108,666",Haines Borough,2561
80,83.0,Hoonah-Angoon Census Area,"99,646",Hoonah-Angoon Census Area,2144
81,84.0,Juneau City and Borough,"2,302,465",Juneau City and Borough,32038
82,85.0,Kenai Peninsula Borough,"2,703,389",Kenai Peninsula Borough,58914
83,86.0,Ketchikan Gateway Borough,"838,509",Ketchikan Gateway Borough,13905
84,87.0,Kodiak Island Borough,"717,581",Kodiak Island Borough,13209
85,88.0,Kusilvak Census Area,"141,922",Kusilvak Census Area,8384
86,89.0,Lake and Peninsula Borough,"85,613",Lake and Peninsula Borough,1583
87,90.0,Matanuska-Susitna Borough,"2,556,968",Matanuska-Susitna Borough,108578
88,91.0,Nome Census Area,"407,769",Nome Census Area,10040
89,92.0,North Slope Borough,"10,389,622",North Slope Borough,9433
90,93.0,Northwest Arctic Borough,"666,604",Northwest Arctic Borough,7673
91,94.0,Petersburg Borough,"185,348",Petersburg Borough,3294
92,95.0,Prince of Wales-Hyder Census Area,"263,853",Prince of Wales-Hyder Census Area,6211
93,96.0,Sitka City and Borough,"441,235",Sitka City and Borough,8501
94,97.0,Skagway Municipality,"99,677",Skagway Municipality,1193
95,98.0,Southeast Fairbanks Census Area,"602,812",Southeast Fairbanks Census Area,6879
96,99.0,Valdez-Cordova Census Area1,"2,255,039",Wrangell City and Borough,2513
97,100.0,Wrangell City and Borough,"94,807",Yakutat City and Borough,576
98,101.0,Yakutat City and Borough,"28,935",Yukon-Koyukuk Census Area,5254
99,102.0,Yukon-Koyukuk Census Area,"270,179",Arizona,7291843
100,104.0,Arizona,"323,894,348",Apache County,71920
101,105.0,Apache,"2,128,397",Cochise County,127248
102,106.0,Cochise,"4,280,992",Coconino County,143967
103,107.0,Coconino,"6,829,438",Gila County,54077
104,108.0,Gila,"1,687,658",Graham County,38890
105,109.0,Graham,"947,920",Greenlee County,9467
106,110.0,Greenlee,"1,576,320",La Paz County,21257
107,111.0,La Paz,"682,877",Maricopa County,4492261
108,112.0,Maricopa,"233,321,462",Mohave County,213846
109,113.0,Mohave,"5,074,156",Navajo County,111037
110,114.0,Navajo,"2,642,699",Pima County,1049261
111,115.0,Pima,"40,179,930",Pinal County,461640
112,116.0,Pinal,"8,585,413",Santa Cruz County,46728
113,117.0,Santa Cruz,"1,767,253",Yavapai County,236062
114,118.0,Yavapai,"6,692,200",Yuma County,214182
115,119.0,Yuma,"7,384,506",Arkansas,3020985
116,121.0,Arkansas,"116,790,945",Arkansas County,17515
117,122.0,Arkansas,"966,397",Ashley County,19742
118,123.0,Ashley,"677,007",Baxter County,41978
119,124.0,Baxter,"1,278,578",Benton County,279835
120,125.0,Benton,"14,096,756",Boone County,37616
121,126.0,Boone,"1,170,571",Bradley County,10792
122,127.0,Bradley,"298,606",Calhoun County,5137
123,128.0,Calhoun,"310,815",Carroll County,28352
124,129.0,Carroll,"790,413",Chicot County,10189
125,130.0,Chicot,"242,945",Clark County,22365
126,131.0,Clark,"714,943",Clay County,14494
127,132.0,Clay,"298,149",Cleburne County,25019
128,133.0,Cleburne,"715,489",Cleveland County,7937
129,134.0,Cleveland,"118,887",Columbia County,23496
130,135.0,Columbia,"833,191",Conway County,20905
131,136.0,Conway,"749,372",Craighead County,110772
132,137.0,Craighead,"4,334,486",Crawford County,63406
133,138.0,Crawford,"1,547,475",Crittenden County,47924
134,139.0,Crittenden,"1,679,445",Cross County,16333
135,140.0,Cross,"397,141",Dallas County,6951
136,141.0,Dallas,"190,580",Desha County,11400
137,142.0,Desha,"511,387",Drew County,18092
138,143.0,Drew,"559,291",Faulkner County,125828
139,144.0,Faulkner,"3,561,759",Franklin County,17737
140,145.0,Franklin,"412,443",Fulton County,12516
141,146.0,Fulton,"163,622",Garland County,99472
142,147.0,Garland,"3,054,365",Grant County,18287
143,148.0,Grant,"385,744",Greene County,45316
144,149.0,Greene,"1,329,611",Hempstead County,21568
145,150.0,Hempstead,"861,068",Hot Spring County,33784
146,151.0,Hot Spring,"873,798",Howard County,13219
147,152.0,Howard,"538,514",Independence County,37819
148,153.0,Independence,"1,634,129",Izard County,13620
149,154.0,Izard,"258,246",Jackson County,16782
150,155.0,Jackson,"640,155",Jefferson County,67137
151,156.0,Jefferson,"2,749,951",Johnson County,26596
152,157.0,Johnson,"655,736",Lafayette County,6656
153,158.0,Lafayette,"126,838",Lawrence County,16440
154,159.0,Lawrence,"394,968",Lee County,8889
155,160.0,Lee,"162,592",Lincoln County,13012
156,161.0,Lincoln,"220,915",Little River County,12368
157,162.0,Little River,"438,064",Logan County,21495
158,163.0,Logan,"438,825",Lonoke County,73648
159,164.0,Lonoke,"1,193,391",Madison County,16519
160,165.0,Madison,"342,893",Marion County,16645
161,166.0,Marion,"545,770",Miller County,43370
162,167.0,Miller,"1,233,604",Mississippi County,40717
163,168.0,Mississippi,"2,570,710",Monroe County,6723
164,169.0,Monroe,"175,131",Montgomery County,9047
165,170.0,Montgomery,"125,093",Nevada County,8205
166,171.0,Nevada,"223,053",Newton County,7712
167,172.0,Newton,"91,962",Ouachita County,23372
168,173.0,Ouachita,"559,672",Perry County,10417
169,174.0,Perry,"136,283",Phillips County,17769
170,175.0,Phillips,"473,931",Pike County,10705
171,176.0,Pike,"211,886",Poinsett County,23502
172,177.0,Poinsett,"538,448",Polk County,19944
173,178.0,Polk,"489,078",Pope County,64145
174,179.0,Pope,"2,600,390",Prairie County,8093
175,180.0,Prairie,"164,926",Pulaski County,392318
176,181.0,Pulaski,"26,399,358",Randolph County,18161
177,182.0,Randolph,"437,346",St. Francis County,24977
178,183.0,St. Francis,"651,201",Saline County,122550
179,184.0,Saline,"2,275,529",Scott County,10217
180,185.0,Scott,"255,301",Searcy County,7862
181,186.0,Searcy,"156,642",Sebastian County,127688
182,187.0,Sebastian,"6,099,593",Sevier County,16972
183,188.0,Sevier,"450,128",Sharp County,17276
184,189.0,Sharp,"304,247",Stone County,12614
185,190.0,Stone,"215,539",Union County,38677
186,191.0,Union,"2,444,503",Van Buren County,16529
187,192.0,Van Buren,"480,600",Washington County,239392
188,193.0,Washington,"10,459,272",White County,78621
189,194.0,White,"2,134,793",Woodruff County,6431
190,195.0,Woodruff,"212,755",Yell County,21376
191,196.0,Yell,"555,952",California,39437610
192,198.0,California,"2,739,343,439",Alameda County,1668412
193,199.0,Alameda,"126,183,638",Alpine County,1113
194,200.0,Alpine,"104,501",Amador County,39693
195,201.0,Amador,"1,625,096",Butte County,218726
196,202.0,Butte,"8,701,260",Calaveras County,46119
197,203.0,Calaveras,"1,412,753",Colusa County,21474
198,204.0,Colusa,"1,244,078",Contra Costa County,1152883
199,205.0,Contra Costa,"79,295,699",Del Norte County,27903
200,206.0,Del Norte,"704,591",El Dorado County,193057
201,207.0,El Dorado,"7,435,270",Fresno County,997847
202,208.0,Fresno,"42,111,573",Glenn County,28445
203,209.0,Glenn,"1,124,597",Humboldt County,135839
204,210.0,Humboldt,"5,185,967",Imperial County,180439
205,211.0,Imperial,"8,471,316",Inyo County,17993
206,212.0,Inyo,"1,214,209",Kern County,898898
207,213.0,Kern,"49,221,208",Kings County,152727
208,214.0,Kings,"6,054,971",Lake County,64463
209,215.0,Lake,"1,875,971",Lassen County,30694
210,216.0,Lassen,"1,071,584",Los Angeles County,10011602
211,217.0,Los Angeles,"703,781,312",Madera County,156717
212,218.0,Madera,"6,194,111",Marin County,259085
213,219.0,Marin,"27,175,273",Mariposa County,17117
214,220.0,Mariposa,"775,501",Mendocino County,86932
215,221.0,Mendocino,"3,295,575",Merced County,277114
216,222.0,Merced,"9,119,281",Modoc County,8866
217,223.0,Modoc,"414,965",Mono County,14450
218,224.0,Mono,"1,016,599",Monterey County,433380
219,225.0,Monterey,"26,819,709",Napa County,137678
220,226.0,Napa,"9,997,969",Nevada County,99648
221,227.0,Nevada,"3,982,808",Orange County,3170851
222,228.0,Orange,"231,036,264",Placer County,398918
223,229.0,Placer,"21,472,690",Plumas County,19052
224,230.0,Plumas,"1,042,571",Riverside County,2465569
225,231.0,Riverside,"80,690,542",Sacramento County,1551660
226,232.0,Sacramento,"83,951,132",San Benito County,62803
227,233.0,San Benito,"2,280,142",San Bernardino County,2177279
228,234.0,San Bernardino,"83,759,253",San Diego County,3330459
229,235.0,San Diego,"214,035,153",San Francisco County,878826
230,236.0,San Francisco,"176,392,838",San Joaquin County,761571
231,237.0,San Joaquin,"28,686,598",San Luis Obispo County,282728
232,238.0,San Luis Obispo,"15,901,604",San Mateo County,764810
233,239.0,San Mateo,"125,850,236",Santa Barbara County,445464
234,240.0,Santa Barbara,"27,183,782",Santa Clara County,1922411
235,241.0,Santa Clara,"325,665,794",Santa Cruz County,272870
236,242.0,Santa Cruz,"14,124,562",Shasta County,179645
237,243.0,Shasta,"7,608,827",Sierra County,2959
238,244.0,Sierra,"87,671",Siskiyou County,43663
239,245.0,Siskiyou,"1,579,641",Solano County,447434
240,246.0,Solano,"24,048,606",Sonoma County,492318
241,247.0,Sonoma,"27,657,268",Stanislaus County,549761
242,248.0,Stanislaus,"21,658,223",Sutter County,96910
243,249.0,Sutter,"3,282,757",Tehama County,65186
244,250.0,Tehama,"1,980,076",Trinity County,12337
245,251.0,Trinity,"357,454",Tulare County,465751
246,252.0,Tulare,"17,762,269",Tuolumne County,54290
247,253.0,Tuolumne,"2,404,999",Ventura County,844203
248,254.0,Ventura,"47,846,529",Yolo County,220019
249,255.0,Yolo,"13,964,754",Yuba County,78549
250,256.0,Yuba,"3,087,444",Colorado,5758486
251,258.0,Colorado,"356,773,592",Adams County,516575
252,259.0,Adams,"25,858,619",Alamosa County,16200
253,260.0,Alamosa,"641,874",Arapahoe County,656051
254,261.0,Arapahoe,"44,278,392",Archuleta County,13928
255,262.0,Archuleta,"510,854",Baca County,3620
256,263.0,Baca,"128,539",Bent County,5578
257,264.0,Bent,"131,212",Boulder County,326020
258,265.0,Boulder,"27,502,894",Broomfield County,70617
259,266.0,Broomfield,"6,937,897",Chaffee County,20319
260,267.0,Chaffee,"743,484",Cheyenne County,1824
261,268.0,Cheyenne,"186,510",Clear Creek County,9598
262,269.0,Clear Creek,"536,445",Conejos County,8169
263,270.0,Conejos,"198,454",Costilla County,3872
264,271.0,Costilla,"81,632",Crowley County,5989
265,272.0,Crowley,"125,619",Custer County,5119
266,273.0,Custer,"120,477",Delta County,31021
267,274.0,Delta,"806,409",Denver County,725508
268,275.0,Denver,"74,702,568",Dolores County,2042
269,276.0,Dolores,"152,722",Douglas County,351842
270,277.0,Douglas,"17,821,178",Eagle County,55183
271,278.0,Eagle,"3,703,041",Elbert County,26707
272,279.0,Elbert,"651,598",El Paso County,721929
273,280.0,El Paso,"33,127,327",Fremont County,48009
274,281.0,Fremont,"1,271,820",Garfield County,60031
275,282.0,Garfield,"4,427,385",Gilpin County,6232
276,283.0,Gilpin,"540,277",Grand County,15748
277,284.0,Grand,"876,168",Gunnison County,17480
278,285.0,Gunnison,"1,021,921",Hinsdale County,789
279,286.0,Hinsdale,"34,036",Huerfano County,6868
280,287.0,Huerfano,"260,530",Jackson County,1397
281,288.0,Jackson,"140,351",Jefferson County,582800
282,289.0,Jefferson,"30,113,572",Kiowa County,1417
283,290.0,Kiowa,"76,882",Kit Carson County,7161
284,291.0,Kit Carson,"364,462",Lake County,8072
285,292.0,Lake,"299,173",La Plata County,56440
286,293.0,La Plata,"3,337,450",Larimer County,357241
287,294.0,Larimer,"18,815,195",Las Animas County,14415
288,295.0,Las Animas,"674,763",Lincoln County,5694
289,296.0,Lincoln,"349,399",Logan County,22409
290,297.0,Logan,"988,146",Mesa County,154552
291,298.0,Mesa,"6,039,762",Mineral County,756
292,299.0,Mineral,"53,697",Moffat County,13209
293,300.0,Moffat,"993,518",Montezuma County,26369
294,301.0,Montezuma,"1,990,268",Montrose County,42791
295,302.0,Montrose,"1,478,875",Morgan County,28938
296,303.0,Morgan,"1,479,665",Otero County,18243
297,304.0,Otero,"554,988",Ouray County,5005
298,305.0,Ouray,"221,293",Park County,18881
299,306.0,Park,"409,944",Phillips County,4359
300,307.0,Phillips,"180,001",Pitkin County,17902
301,308.0,Pitkin,"2,040,693",Prowers County,12106
302,309.0,Prowers,"502,188",Pueblo County,168409
303,310.0,Pueblo,"5,790,286",Rio Blanco County,6350
304,311.0,Rio Blanco,"807,105",Rio Grande County,11277
305,312.0,Rio Grande,"435,773",Routt County,25579
306,313.0,Routt,"1,803,011",Saguache County,6829
307,314.0,Saguache,"210,208",San Juan County,723
308,315.0,San Juan,"33,225",San Miguel County,8169
309,316.0,San Miguel,"588,502",Sedgwick County,2274
310,317.0,Sedgwick,"79,740",Summit County,30851
311,318.0,Summit,"2,401,743",Teller County,25408
312,319.0,Teller,"918,493",Washington County,4869
313,320.0,Washington,"183,858",Weld County,324703
314,321.0,Weld,"23,686,854",Yuma County,10020
315,322.0,Yuma,"563,662",Connecticut,3566022
316,324.0,Connecticut,"251,495,134",Fairfield County,944388
317,325.0,Fairfield,"81,895,069",Hartford County,891349
318,326.0,Hartford,"79,002,484",Litchfield County,180396
319,327.0,Litchfield,"7,612,070",Middlesex County,162538
320,328.0,Middlesex,"8,854,701",New Haven County,853818
321,329.0,New Haven,"47,182,725",New London County,265784
322,330.0,New London,"17,508,777",Tolland County,150865
323,331.0,Tolland,"4,961,783",Windham County,116884
324,332.0,Windham,"4,550,511",Delaware,976668
325,334.0,Delaware,"64,262,426",Kent County,181492
326,335.0,Kent,"7,681,601",New Castle County,559941
327,336.0,New Castle,"44,503,725",Sussex County,235235
328,337.0,Sussex,"12,151,829",District of Columbia,708253
329,339.0,District of Columbia,"124,990,299",District of Columbia,708253
330,341.0,Florida,"971,619,168",Florida,21492056
331,342.0,Alachua,"12,675,917",Alachua County,269489
332,343.0,Baker,"598,797",Baker County,29288
333,344.0,Bay,"7,770,640",Bay County,173895
334,345.0,Bradford,"608,191",Bradford County,28348
335,346.0,Brevard,"24,488,126",Brevard County,601024
336,347.0,Broward,"99,667,401",Broward County,1955475
337,348.0,Calhoun,"228,221",Calhoun County,14140
338,349.0,Charlotte,"5,132,804",Charlotte County,189669
339,350.0,Citrus,"3,889,873",Citrus County,150153
340,351.0,Clay,"5,044,563",Clay County,219014
341,352.0,Collier,"17,915,539",Collier County,385917
342,353.0,Columbia,"2,160,466",Columbia County,71766
343,354.0,DeSoto,"973,502",DeSoto County,37821
344,355.0,Dixie,"280,960",Dixie County,16887
345,356.0,Duval,"60,575,324",Duval County,959853
346,357.0,Escambia,"14,286,019",Escambia County,319379
347,358.0,Flagler,"2,605,838",Flagler County,115481
348,359.0,Franklin,"344,397",Franklin County,12113
349,360.0,Gadsden,"1,182,620",Gadsden County,45670
350,361.0,Gilchrist,"345,971",Gilchrist County,18572
351,362.0,Glades,"354,905",Glades County,13914
352,363.0,Gulf,"381,387",Gulf County,13498
353,364.0,Hamilton,"458,490",Hamilton County,14470
354,365.0,Hardee,"964,327",Hardee County,26806
355,366.0,Hendry,"1,299,512",Hendry County,42069
356,367.0,Hernando,"3,966,234",Hernando County,194290
357,368.0,Highlands,"2,426,133",Highlands County,105890
358,369.0,Hillsborough,"85,153,512",Hillsborough County,1476431
359,370.0,Holmes,"372,328",Holmes County,19661
360,371.0,Indian River,"6,251,797",Indian River County,159739
361,372.0,Jackson,"1,248,219",Jackson County,46257
362,373.0,Jefferson,"274,791",Jefferson County,14280
363,374.0,Lafayette,"150,680",Lafayette County,8384
364,375.0,Lake,"9,264,579",Lake County,366941
365,376.0,Lee,"29,723,883",Lee County,772268
366,377.0,Leon,"13,766,905",Leon County,293866
367,378.0,Levy,"906,727",Levy County,41620
368,379.0,Liberty,"185,745",Liberty County,8341
369,380.0,Madison,"384,413",Madison County,18599
370,381.0,Manatee,"14,154,659",Manatee County,402977
371,382.0,Marion,"9,424,822",Marion County,365997
372,383.0,Martin,"7,155,892",Martin County,161212
373,384.0,Miami-Dade,"148,725,621",Miami-Dade County,2711612
374,385.0,Monroe,"4,648,398",Monroe County,73897
375,386.0,Nassau,"2,565,853",Nassau County,88583
376,387.0,Okaloosa,"11,170,644",Okaloosa County,211411
377,388.0,Okeechobee,"1,594,097",Okeechobee County,42141
378,389.0,Orange,"90,788,216",Orange County,1395371
379,390.0,Osceola,"10,151,723",Osceola County,374170
380,391.0,Palm Beach,"77,975,264",Palm Beach County,1497800
381,392.0,Pasco,"12,256,921",Pasco County,554032
382,393.0,Pinellas,"46,331,979",Pinellas County,975367
383,394.0,Polk,"24,938,252",Polk County,724967
384,395.0,Putnam,"2,013,030",Putnam County,74309
385,396.0,St. Johns,"8,889,977",St. Johns County,265068
386,397.0,St. Lucie,"8,786,833",St. Lucie County,328063
387,398.0,Santa Rosa,"4,403,068",Santa Rosa County,184587
388,399.0,Sarasota,"19,617,326",Sarasota County,435006
389,400.0,Seminole,"20,751,894",Seminole County,471791
390,401.0,Sumter,"3,735,975",Sumter County,133772
391,402.0,Suwannee,"1,168,357",Suwannee County,44420
392,403.0,Taylor,"659,514",Taylor County,21537
393,404.0,Union,"266,577",Union County,15213
394,405.0,Volusia,"16,867,458",Volusia County,554065
395,406.0,Wakulla,"670,427",Wakulla County,33636
396,407.0,Walton,"3,028,535",Walton County,74127
397,408.0,Washington,"535,744",Washington County,25647
398,410.0,Georgia,"558,277,256",Georgia,10628020
399,411.0,Appling,"1,388,942",Appling County,18389
400,412.0,Atkinson,"219,752",Atkinson County,8269
401,413.0,Bacon,"339,090",Bacon County,11098
402,414.0,Baker,"73,676",Baker County,3047
403,415.0,Baldwin,"1,227,563",Baldwin County,45006
404,416.0,Banks,"395,898",Banks County,19175
405,417.0,Barrow,"2,011,714",Barrow County,83581
406,418.0,Bartow,"4,529,467",Bartow County,107757
407,419.0,Ben Hill,"464,846",Ben Hill County,16711
408,420.0,Berrien,"365,401",Berrien County,19377
409,421.0,Bibb,"7,565,865",Bibb County,153191
410,422.0,Bleckley,"218,073",Bleckley County,12923
411,423.0,Brantley,"223,503",Brantley County,19124
412,424.0,Brooks,"372,427",Brooks County,15518
413,425.0,Bryan,"931,778",Bryan County,39692
414,426.0,Bulloch,"2,230,248",Bulloch County,79718
415,427.0,Burke,"2,770,976",Burke County,22497
416,428.0,Butts,"606,238",Butts County,24917
417,429.0,Calhoun,"116,646",Calhoun County,6184
418,430.0,Camden,"1,681,147",Camden County,54784
419,431.0,Candler,"242,307",Candler County,10835
420,432.0,Carroll,"4,379,895",Carroll County,120115
421,433.0,Catoosa,"1,369,792",Catoosa County,67585
422,434.0,Charlton,"188,145",Charlton County,13277
423,435.0,Chatham,"16,972,627",Chatham County,290185
424,436.0,Chattahoochee,"1,461,834",Chattahoochee County,10991
425,437.0,Chattooga,"521,470",Chattooga County,24846
426,438.0,Cherokee,"7,328,211",Cherokee County,259475
427,439.0,Clarke,"6,953,967",Clarke County,128238
428,440.0,Clay,"83,827",Clay County,2901
429,441.0,Clayton,"17,042,400",Clayton County,292404
430,442.0,Clinch,"227,836",Clinch County,6637
431,443.0,Cobb,"50,373,128",Cobb County,761060
432,444.0,Coffee,"1,417,286",Coffee County,43278
433,445.0,Colquitt,"1,332,075",Colquitt County,45569
434,446.0,Columbia,"3,761,838",Columbia County,157129
435,447.0,Cook,"340,272",Cook County,17241
436,448.0,Coweta,"4,439,799",Coweta County,148504
437,449.0,Crawford,"145,580",Crawford County,12345
438,450.0,Crisp,"808,578",Crisp County,22382
439,451.0,Dade,"381,863",Dade County,16103
440,452.0,Dawson,"819,918",Dawson County,26091
441,453.0,Decatur,"734,452",Decatur County,26496
442,454.0,DeKalb,"37,502,746",DeKalb County,759932
443,455.0,Dodge,"400,451",Dodge County,20672
444,456.0,Dooly,"383,901",Dooly County,13400
445,457.0,Dougherty,"4,053,082",Dougherty County,87854
446,458.0,Douglas,"4,299,267",Douglas County,146680
447,459.0,Early,"434,379",Early County,10176
448,460.0,Echols,"39,643",Echols County,3963
449,461.0,Effingham,"1,737,909",Effingham County,64342
450,462.0,Elbert,"567,768",Elbert County,19205
451,463.0,Emanuel,"616,873",Emanuel County,22600
452,464.0,Evans,"342,318",Evans County,10661
453,465.0,Fannin,"686,539",Fannin County,26068
454,466.0,Fayette,"4,840,047",Fayette County,114645
455,467.0,Floyd,"3,676,108",Floyd County,98325
456,468.0,Forsyth,"9,491,142",Forsyth County,244624
457,469.0,Franklin,"858,799",Franklin County,23322
458,470.0,Fulton,"168,439,892",Fulton County,1065019
459,471.0,Gilmer,"832,482",Gilmer County,31575
460,472.0,Glascock,"30,275",Glascock County,2959
461,473.0,Glynn,"3,559,558",Glynn County,85326
462,474.0,Gordon,"2,165,968",Gordon County,58046
463,475.0,Grady,"585,465",Grady County,24588
464,476.0,Greene,"684,403",Greene County,18356
465,477.0,Gwinnett,"45,850,475",Gwinnett County,937399
466,478.0,Habersham,"1,381,218",Habersham County,45542
467,479.0,Hall,"10,114,487",Hall County,204310
468,480.0,Hancock,"144,556",Hancock County,8475
469,481.0,Haralson,"746,267",Haralson County,29884
470,482.0,Harris,"492,674",Harris County,35188
471,483.0,Hart,"823,944",Hart County,26255
472,484.0,Heard,"1,142,905",Heard County,11825
473,485.0,Henry,"6,229,082",Henry County,234671
474,486.0,Houston,"6,383,219",Houston County,157427
475,487.0,Irwin,"184,395",Irwin County,9442
476,488.0,Jackson,"2,927,747",Jackson County,73015
477,489.0,Jasper,"260,282",Jasper County,14207
478,490.0,Jeff Davis,"380,305",Jeff Davis County,15101
479,491.0,Jefferson,"503,011",Jefferson County,15344
480,492.0,Jenkins,"148,758",Jenkins County,8734
481,493.0,Johnson,"113,589",Johnson County,9724
482,494.0,Jones,"410,910",Jones County,28689
483,495.0,Lamar,"377,920",Lamar County,19001
484,496.0,Lanier,"113,123",Lanier County,10581
485,497.0,Laurens,"1,589,735",Laurens County,47567
486,498.0,Lee,"653,586",Lee County,30045
487,499.0,Liberty,"3,320,174",Liberty County,62813
488,500.0,Lincoln,"114,721",Lincoln County,7969
489,501.0,Long,"159,866",Long County,19647
490,502.0,Lowndes,"4,566,913",Lowndes County,117600
491,503.0,Lumpkin,"780,950",Lumpkin County,33692
492,504.0,McDuffie,"596,053",McDuffie County,21317
493,505.0,McIntosh,"229,273",McIntosh County,14294
494,506.0,Macon,"400,970",Macon County,12934
495,507.0,Madison,"496,115",Madison County,29925
496,508.0,Marion,"101,177",Marion County,8413
497,509.0,Meriwether,"529,702",Meriwether County,21112
498,510.0,Miller,"184,504",Miller County,5667
499,511.0,Mitchell,"715,053",Mitchell County,21846
500,512.0,Monroe,"1,446,063",Monroe County,27677
501,513.0,Montgomery,"145,873",Montgomery County,9148
502,514.0,Morgan,"810,863",Morgan County,19239
503,515.0,Murray,"1,156,410",Murray County,39996
504,516.0,Muscogee,"9,493,232",Muscogee County,196074
505,517.0,Newton,"2,738,094",Newton County,111894
506,518.0,Oconee,"1,468,909",Oconee County,40296
507,519.0,Oglethorpe,"304,455",Oglethorpe County,15222
508,520.0,Paulding,"2,786,800",Paulding County,169302
509,521.0,Peach,"828,988",Peach County,27697
510,522.0,Pickens,"935,180",Pickens County,32648
511,523.0,Pierce,"369,452",Pierce County,19443
512,524.0,Pike,"308,537",Pike County,18953
513,525.0,Polk,"1,134,358",Polk County,42616
514,526.0,Pulaski,"275,877",Pulaski County,11161
515,527.0,Putnam,"501,792",Putnam County,22083
516,528.0,Quitman,"34,348",Quitman County,2300
517,529.0,Rabun,"513,912",Rabun County,17116
