CTYNAME,GDP2019,CTYNAME,POPESTIMATE2019
Jackson,1248219.00,Jackson County,46257
Jefferson,274791.00,Jefferson County,14280
Lafayette,150680.00,Lafayette County,8384
Lake,9264579.00,Lake County,366941
Lee,29723883.00,Lee County,772268
Leon,13766905.00,Leon County,293866
Levy,906727.00,Levy County,41620
Liberty,185745.00,Liberty County,8341
Madison,384413.00,Madison County,18599
Manatee,14154659.00,Manatee County,402977
Marion,9424822.00,Marion County,365997
Martin,7155892.00,Martin County,161212
Miami-Dade,148725621.00,Miami-Dade County,2711612
Monroe,4648398.00,Monroe County,73897
Nassau,2565853.00,Nassau County,88583
Okaloosa,11170644.00,Okaloosa County,211411
Okeechobee,1594097.00,Okeechobee County,42141
Orange,90788216.00,Orange County,1395371
Osceola,10151723.00,Osceola County,374170
Palm Beach,77975264.00,Palm Beach County,1497800
Pasco,12256921.00,Pasco County,554032
Pinellas,46331979.00,Pinellas County,975367
Polk,24938252.00,Polk County,724967
Putnam,2013030.00,Putnam County,74309
St. Johns,8889977.00,St. Johns County,265068
St. Lucie,8786833.00,St. Lucie County,328063
Santa Rosa,4403068.00,Santa Rosa County,184587
Sarasota,19617326.00,Sarasota County,435006
Seminole,20751894.00,Seminole County,471791
Sumter,3735975.00,Sumter County,133772
Suwannee,1168357.00,Suwannee County,44420
Taylor,659514.00,Taylor County,21537
Union,266577.00,Union County,15213
Volusia,16867458.00,Volusia County,554065
Wakulla,670427.00,Wakulla County,33636
Walton,3028535.00,Walton County,74127
Washington,535744.00,Washington County,25647
Georgia,558277256.00,Georgia,10628020
Appling,1388942.00,Appling County,18389
Atkinson,219752.00,Atkinson County,8269
Bacon,339090.00,Bacon County,11098
Baker,73676.00,Baker County,3047
Baldwin,1227563.00,Baldwin County,45006
Banks,395898.00,Banks County,19175
Barrow,2011714.00,Barrow County,83581
Bartow,4529467.00,Bartow County,107757
Ben Hill,464846.00,Ben Hill County,16711
Berrien,365401.00,Berrien County,19377
Bibb,7565865.00,Bibb County,153191
Bleckley,218073.00,Bleckley County,12923
Brantley,223503.00,Brantley County,19124
Brooks,372427.00,Brooks County,15518
Bryan,931778.00,Bryan County,39692
Bulloch,2230248.00,Bulloch County,79718
Burke,2770976.00,Burke County,22497
Butts,606238.00,Butts County,24917
Calhoun,116646.00,Calhoun County,6184
Camden,1681147.00,Camden County,54784
Candler,242307.00,Candler County,10835
Carroll,4379895.00,Carroll County,120115
Catoosa,1369792.00,Catoosa County,67585
Charlton,188145.00,Charlton County,13277
Chatham,16972627.00,Chatham County,290185
Chattahoochee,1461834.00,Chattahoochee County,10991
Chattooga,521470.00,Chattooga County,24846
Cherokee,7328211.00,Cherokee County,259475
Clarke,6953967.00,Clarke County,128238
Clay,83827.00,Clay County,2901
Clayton,17042400.00,Clayton County,292404
Clinch,227836.00,Clinch County,6637
Cobb,50373128.00,Cobb County,761060
Coffee,1417286.00,Coffee County,43278
Colquitt,1332075.00,Colquitt County,45569
Columbia,3761838.00,Columbia County,157129
Cook,340272.00,Cook County,17241
Coweta,4439799.00,Coweta County,148504
Crawford,145580.00,Crawford County,12345
Crisp,808578.00,Crisp County,22382
Dade,381863.00,Dade County,16103
Dawson,819918.00,Dawson County,26091
Decatur,734452.00,Decatur County,26496
DeKalb,37502746.00,DeKalb County,759932
Dodge,400451.00,Dodge County,20672
Dooly,383901.00,Dooly County,13400
Dougherty,4053082.00,Dougherty County,87854
Douglas,4299267.00,Douglas County,146680
Early,434379.00,Early County,10176
Echols,39643.00,Echols County,3963
Effingham,1737909.00,Effingham County,64342
Elbert,567768.00,Elbert County,19205
Emanuel,616873.00,Emanuel County,22600
Evans,342318.00,Evans County,10661
Fannin,686539.00,Fannin County,26068
Fayette,4840047.00,Fayette County,114645
Floyd,3676108.00,Floyd County,98325
Forsyth,9491142.00,Forsyth County,244624
Franklin,858799.00,Franklin County,23322
Fulton,168439892.00,Fulton County,1065019
Gilmer,832482.00,Gilmer County,31575
Glascock,30275.00,Glascock County,2959
Glynn,3559558.00,Glynn County,85326
Gordon,2165968.00,Gordon County,58046
Grady,585465.00,Grady County,24588
Greene,684403.00,Greene County,18356
Gwinnett,45850475.00,Gwinnett County,937399
Habersham,1381218.00,Habersham County,45542
Hall,10114487.00,Hall County,204310
Hancock,144556.00,Hancock County,8475
Haralson,746267.00,Haralson County,29884
Harris,492674.00,Harris County,35188
Hart,823944.00,Hart County,26255
Heard,1142905.00,Heard County,11825
Henry,6229082.00,Henry County,234671
Houston,6383219.00,Houston County,157427
Irwin,184395.00,Irwin County,9442
Jackson,2927747.00,Jackson County,73015
Jasper,260282.00,Jasper County,14207
Jeff Davis,380305.00,Jeff Davis County,15101
Jefferson,503011.00,Jefferson County,15344
Jenkins,148758.00,Jenkins County,8734
Johnson,113589.00,Johnson County,9724
Jones,410910.00,Jones County,28689
Lamar,377920.00,Lamar County,19001
Lanier,113123.00,Lanier County,10581
Laurens,1589735.00,Laurens County,47567
Lee,653586.00,Lee County,30045
Liberty,3320174.00,Liberty County,62813
Lincoln,114721.00,Lincoln County,7969
Long,159866.00,Long County,19647
Lowndes,4566913.00,Lowndes County,117600
Lumpkin,780950.00,Lumpkin County,33692
McDuffie,596053.00,McDuffie County,21317
McIntosh,229273.00,McIntosh County,14294
Macon,400970.00,Macon County,12934
Madison,496115.00,Madison County,29925
Marion,101177.00,Marion County,8413
Meriwether,529702.00,Meriwether County,21112
Miller,184504.00,Miller County,5667
Mitchell,715053.00,Mitchell County,21846
Monroe,1446063.00,Monroe County,27677
Montgomery,145873.00,Montgomery County,9148
Morgan,810863.00,Morgan County,19239
Murray,1156410.00,Murray County,39996
Muscogee,9493232.00,Muscogee County,196074
Newton,2738094.00,Newton County,111894
Oconee,1468909.00,Oconee County,40296
Oglethorpe,304455.00,Oglethorpe County,15222
Paulding,2786800.00,Paulding County,169302
Peach,828988.00,Peach County,27697
Pickens,935180.00,Pickens County,32648
Pierce,369452.00,Pierce County,19443
Pike,308537.00,Pike County,18953
Polk,1134358.00,Polk County,42616
Pulaski,275877.00,Pulaski County,11161
Putnam,501792.00,Putnam County,22083
Quitman,34348.00,Quitman County,2300
Rabun,513912.00,Rabun County,17116
Randolph,160868.00,Randolph County,6806
Richmond,11020630.00,Richmond County,202639
Rockdale,3501839.00,Rockdale County,90639
Schley,103602.00,Schley County,5254
Screven,286099.00,Screven County,13945
Seminole,273878.00,Seminole County,8090
Spalding,1892917.00,Spalding County,66835
Stephens,846678.00,Stephens County,26017
Stewart,123197.00,Stewart County,6649
Sumter,975824.00,Sumter County,29401
Talbot,121887.00,Talbot County,6188
Taliaferro,30791.00,Taliaferro County,1549
Tattnall,571927.00,Tattnall County,25317
Taylor,196947.00,Taylor County,8051
Telfair,262524.00,Telfair County,15813
Terrell,198468.00,Terrell County,8573
Thomas,1931847.00,Thomas County,44427
Tift,1727482.00,Tift County,40653
Toombs,855369.00,Toombs County,26844
Towns,341877.00,Towns County,12009
Treutlen,91749.00,Treutlen County,6860
Troup,3268726.00,Troup County,70059
Turner,199373.00,Turner County,7929
Twiggs,253458.00,Twiggs County,8164
Union,699329.00,Union County,24606
Upson,640543.00,Upson County,26402
Walker,1319659.00,Walker County,69769
Walton,2399415.00,Walton County,94818
Ware,1276616.00,Ware County,35816
Warren,145322.00,Warren County,5220
Washington,559579.00,Washington County,20352
Wayne,910312.00,Wayne County,30017
Webster,52402.00,Webster County,2573
Wheeler,92679.00,Wheeler County,7870
White,806939.00,White County,30601
Whitfield,5309240.00,Whitfield County,104265
Wilcox,145360.00,Wilcox County,8607
Wilkes,306113.00,Wilkes County,9769
Wilkinson,562317.00,Wilkinson County,8936
Worth,332702.00,Worth County,20185
Hawaii,79175387.00,Hawaii,1415615
Hawaii,7816495.00,Hawaii County,202165
Honolulu,58428763.00,Honolulu County,973491
Kauai,3711519.00,Kauai County,72190
Maui + Kalawao,9207556.00,Maui + Kalawao,167769
Idaho,73911957.00,Idaho,1789060
Ada,25857055.00,Ada County,481880
Adams,110181.00,Adams County,4265
Bannock,2600103.00,Bannock County,87822
Bear Lake,169728.00,Bear Lake County,6131
Benewah,303634.00,Benewah County,9303
Bingham,1295594.00,Bingham County,46772
Blaine,1380089.00,Blaine County,23012
Boise,198825.00,Boise County,7903
Bonner,1410850.00,Bonner County,45774
Bonneville,5635262.00,Bonneville County,119286
Boundary,344005.00,Boundary County,12340
Butte,1123308.00,Butte County,2620
Camas,72255.00,Camas County,1091
Canyon,5912054.00,Canyon County,230270
Caribou,612982.00,Caribou County,7149
Cassia,1569602.00,Cassia County,24052
Clark,46172.00,Clark County,838
Clearwater,303451.00,Clearwater County,8761
Custer,180857.00,Custer County,4273
Elmore,1228782.00,Elmore County,27373
Franklin,352706.00,Franklin County,13898
Fremont (includes Yellowstone National Park),356712.00,Fremont County,13105
Gem,365553.00,Gem County,18174
Gooding,1351518.00,Gooding County,15290
Idaho,403388.00,Idaho County,16623
Jefferson,811428.00,Jefferson County,29918
Jerome,1274950.00,Jerome County,24486
Kootenai,5844703.00,Kootenai County,165656
Latah,1237817.00,Latah County,40372
Lemhi,240073.00,Lemhi County,8067
Lewis,144513.00,Lewis County,3845
Lincoln,296091.00,Lincoln County,5325
Madison,1169812.00,Madison County,40205
Minidoka,814936.00,Minidoka County,20910
Nez Perce,1914836.00,Nez Perce County,40601
Oneida,121339.00,Oneida County,4500
Owyhee,441082.00,Owyhee County,11823
Payette,774387.00,Payette County,24051
Power,389593.00,Power County,7636
Shoshone,467959.00,Shoshone County,12868
Teton,317764.00,Teton County,12096
Twin Falls,3497144.00,Twin Falls County,87127
Valley,455056.00,Valley County,11443
Washington,435691.00,Washington County,10126
Illinois,777653833.00,Illinois,12667017
Adams,3173733.00,Adams County,65402
Alexander,156449.00,Alexander County,5791
Bond,510704.00,Bond County,16458
Boone,1759786.00,Boone County,53281
Brown,457117.00,Brown County,6619
Bureau,1201571.00,Bureau County,32621
Calhoun,81792.00,Calhoun County,4740
Carroll,519904.00,Carroll County,14338
Cass,589132.00,Cass County,12141
Champaign,9993932.00,Champaign County,209612
Christian,1413720.00,Christian County,32427
Clark,537641.00,Clark County,15465
Clay,507609.00,Clay County,13177
Clinton,974741.00,Clinton County,37440
Coles,2250246.00,Coles County,50774
Cook,367998188.00,Cook County,5145326
Crawford,1875534.00,Crawford County,18686
Cumberland,1214288.00,Cumberland County,10733
DeKalb,3780287.00,DeKalb County,105131
De Witt,1097382.00,De Witt County,15624
Douglas,1010730.00,Douglas County,19450
DuPage,87021506.00,DuPage County,922761
Edgar,705742.00,Edgar County,17169
Edwards,267348.00,Edwards County,6405
Effingham,1929701.00,Effingham County,34109
Fayette,511057.00,Fayette County,21332
Ford,615307.00,Ford County,12972
Franklin,993704.00,Franklin County,38530
Fulton,883966.00,Fulton County,34240
Gallatin,203296.00,Gallatin County,4833
Greene,270315.00,Greene County,12922
Grundy,3996036.00,Grundy County,51031
Hamilton,343291.00,Hamilton County,8133
Hancock,495948.00,Hancock County,17700
Hardin,72688.00,Hardin County,3848
Henderson,152289.00,Henderson County,6709
Henry,1335040.00,Henry County,48933
Iroquois,999833.00,Iroquois County,27093
Jackson,2300270.00,Jackson County,56844
Jasper,442331.00,Jasper County,9618
Jefferson,1781409.00,Jefferson County,37635
Jersey,466026.00,Jersey County,21667
Jo Daviess,717289.00,Jo Daviess County,21224
Johnson,210746.00,Johnson County,12380
Kane,25126179.00,Kane County,532293
Kankakee,5772125.00,Kankakee County,109569
Kendall,3386440.00,Kendall County,128900
Knox,1584871.00,Knox County,49669
Lake,56544892.00,Lake County,697134
LaSalle,5058373.00,LaSalle County,108517
Lawrence,519182.00,Lawrence County,15665
Lee,1451305.00,Lee County,34061
Livingston,1815669.00,Livingston County,35557
Logan,928849.00,Logan County,28633
McDonough,1015307.00,McDonough County,29792
McHenry,10654496.00,McHenry County,307439
McLean,13541117.00,McLean County,171272
Macon,5890375.00,Macon County,104012
Macoupin,1064871.00,Macoupin County,45079
Madison,13347988.00,Madison County,263609
Marion,1217049.00,Marion County,37309
Marshall,345119.00,Marshall County,11463
Mason,440975.00,Mason County,13387
Massac,558765.00,Massac County,13772
Menard,212330.00,Menard County,12198
Mercer,368381.00,Mercer County,15490
Monroe,852837.00,Monroe County,34738
Montgomery,1003779.00,Montgomery County,28401
Morgan,1463026.00,Morgan County,33679
Moultrie,817022.00,Moultrie County,14464
Ogle,2496743.00,Ogle County,50660
Peoria,11859571.00,Peoria County,179359
Perry,589849.00,Perry County,20935
Piatt,481990.00,Piatt County,16391
Pike,507701.00,Pike County,15574
Pope,55449.00,Pope County,4176
Pulaski,179834.00,Pulaski County,5309
Putnam,376052.00,Putnam County,5745
Randolph,1376896.00,Randolph County,31725
Richland,558037.00,Richland County,15519
Rock Island,9252035.00,Rock Island County,141775
St. Clair,10804069.00,St. Clair County,259889
Saline,798817.00,Saline County,23540
Sangamon,10409498.00,Sangamon County,194882
Schuyler,232921.00,Schuyler County,6829
Scott,138981.00,Scott County,4974
Shelby,725743.00,Shelby County,21625
Stark,181671.00,Stark County,5312
